desc_base_map,id
 cartografia nazionale tematica (scala 1:2.000) ,1
 cartografia nazionale tematica (scala 1:5.000),2
 cartografia nazionale tematica (scala 1:10.000),3
 cartografia nazionale tematica (scala 1:25.000),4
 cartografia nazionale tematica (scala 1:50.000),5
 cartografia nazionale tematica (scala 1:1.000.000) ,6
 cartografia nazionale tematica (scala 1:1.250.000),7
 cartografia nazionale tematica (scala 1:1.500.000),8
 cartografia catastale vettoriale,9
 cartografia catastale WMS,10
 carta tecnica comunale (CTC),12
 carta tecnica regionale (CTR) (scala 1:5.000),13
 carta tecnica regionale (CTR) (scala 1:10.000),14
Google Earth,16
Google Maps,15
no base cartografica: uso del GPS,11
no base cartografica: download da banche dati,17
