name_country,id
Afghanistan,1
Albania,2
Algeria,3
Andorra,4
Angola,5
Anguilla,6
Antartide,7
Antigua e Barbuda,8
Antille Olandesi,9
Arabia Saudita,10
Argentina,11
Armenia,12
Aruba,13
Australia,14
Austria,15
Azerbaijan,16
Bahamas,17
Bahrain,18
Bangladesh,19
Barbados,20
Belgio,21
Belize,22
Benin,23
Bermuda,24
Bielorussia,25
Bhutan,26
Bolivia,27
Bosnia Erzegovina,28
Botswana,29
Brasile,30
Brunei Darussalam,31
Bulgaria,32
Burkina Faso,33
Burundi,34
Cambogia,35
Camerun,36
Canada,37
Capo Verde,38
Ciad,39
Cile,40
Cina,41
Cipro,42
Citta del Vaticano,43
Colombia,44
Comore,45
Corea del Nord,46
Corea del Sud,47
Costa Rica,48
Costa d'Avorio,49
Croazia,50
Cuba,51
Danimarca,52
Dominica,53
Ecuador,54
Egitto,55
Eire,56
El Salvador,57
Emirati Arabi Uniti,58
Eritrea,59
Estonia,60
Etiopia,61
Federazione Russa,62
Fiji,63
Filippine,64
Finlandia,65
Francia,66
Gabon,67
Gambia,68
Georgia,69
Germania,70
Ghana,71
Giamaica,72
Giappone,73
Gibilterra,74
Gibuti,75
Giordania,76
Grecia,77
Grenada,78
Groenlandia,79
Guadalupa,80
Guam,81
Guatemala,82
Guinea,83
Guinea-Bissau,84
Guinea Equatoriale,85
Guyana,86
Guyana Francese,87
Haiti,88
Honduras,89
Hong Kong,90
India,91
Indonesia,92
Iran,93
Iraq,94
Isola di Bouvet,95
Isola di Natale,96
Isola Heard e Isole McDonald,97
Isole Cayman,98
Isole Cocos,99
Isole Cook,100
Isole Falkland,101
Isole Faroe,102
Isole Marshall,103
Isole Marianne Settentrionali,104
Isole Minori degli Stati Uniti d'America,105
Isola Norfolk,106
Isole Solomon,107
Isole Turks e Caicos,108
Isole Vergini Americane,109
Isole Vergini Britanniche,110
Israele,111
Islanda,112
Italia,113
Kazakhistan,114
Kenya,115
Kirghizistan,116
Kiribati,117
Kuwait,118
Laos,119
Lettonia,120
Lesotho,121
Libano,122
Liberia,123
Libia,124
Liechtenstein,125
Lituania,126
Lussemburgo,127
Macao,128
Macedonia,129
Madagascar,130
Malawi,131
Maldive,132
Malesia,133
Mali,134
Malta,135
Marocco,136
Martinica,137
Mauritania,138
Maurizius,139
Mayotte,140
Messico,141
Moldavia,142
Monaco,143
Mongolia,144
Montserrat,145
Mozambico,146
Myanmar,147
Namibia,148
Nauru,149
Nepal,150
Nicaragua,151
Niger,152
Nigeria,153
Niue,154
Norvegia,155
Nuova Caledonia,156
Nuova Zelanda,157
Oman,158
Paesi Bassi,159
Pakistan,160
Palau,161
Panama,162
Papua Nuova Guinea,163
Paraguay,164
Peru,165
Pitcairn,166
Polinesia Francese,167
Polonia,168
Portogallo,169
Porto Rico,170
Qatar,171
Regno Unito,172
Repubblica Ceca,173
Repubblica Centroafricana,174
Repubblica del Congo,175
Repubblica Democratica del Congo,176
Repubblica Dominicana,177
Reunion,178
Romania,179
Ruanda,180
Sahara Occidentale,181
Saint Kitts e Nevis,182
Saint Pierre e Miquelon,183
Saint Vincent e Grenadine,184
Samoa,185
Samoa Americane,186
San Marino,187
Sant'Elena,188
Santa Lucia,189
Sao Tome e Principe,190
Senegal,191
Kosovo,192
Seychelles,193
Sierra Leone,194
Singapore,195
Siria,196
Slovacchia,197
Slovenia,198
Somalia,199
Spagna,200
Sri Lanka,201
Stati Federati della Micronesia,202
Stati Uniti d'America,203
Sud Africa,204
Sud Georgia e Isole Sandwich,205
Sudan,206
Suriname,207
Svalbard e Jan Mayen,208
Svezia,209
Svizzera,210
Swaziland,211
Tagikistan,212
Tailandia,213
Taiwan,214
Tanzania,215
Territori Britannici dell'Oceano Indiano,216
Territori Francesi del Sud,217
Territori Palestinesi Occupati,218
Timor Est,219
Togo,220
Tokelau,221
Tonga,222
Trinidad e Tobago,223
Tunisia,224
Turchia,225
Turkmenistan,226
Tuvalu,227
Ucraina,228
Uganda,229
Ungheria,230
Uruguay,231
Uzbekistan,232
Vanuatu,233
Venezuela,234
Vietnam,235
Wallis e Futuna,236
Yemen,237
Zambia,238
Zimbabwe,239
Serbia,240
Montenegro,241
Timor Est,242
Guernsey,243
