id,app,name,applied
1,contenttypes,0001_initial,2025-04-16 11:11:28.257258+00
2,auth,0001_initial,2025-04-16 11:11:28.313916+00
3,admin,0001_initial,2025-04-16 11:11:28.326287+00
4,admin,0002_logentry_remove_auto_add,2025-04-16 11:11:28.330179+00
5,admin,0003_logentry_add_action_flag_choices,2025-04-16 11:11:28.333672+00
6,contenttypes,0002_remove_content_type_name,2025-04-16 11:11:28.341882+00
7,auth,0002_alter_permission_name_max_length,2025-04-16 11:11:28.346333+00
8,auth,0003_alter_user_email_max_length,2025-04-16 11:11:28.350973+00
9,auth,0004_alter_user_username_opts,2025-04-16 11:11:28.354402+00
10,auth,0005_alter_user_last_login_null,2025-04-16 11:11:28.358638+00
11,auth,0006_require_contenttypes_0002,2025-04-16 11:11:28.359637+00
12,auth,0007_alter_validators_add_error_messages,2025-04-16 11:11:28.363772+00
13,auth,0008_alter_user_username_max_length,2025-04-16 11:11:28.369741+00
14,auth,0009_alter_user_last_name_max_length,2025-04-16 11:11:28.373825+00
15,auth,0010_alter_group_name_max_length,2025-04-16 11:11:28.378668+00
16,auth,0011_update_proxy_permissions,2025-04-16 11:11:28.38236+00
17,auth,0012_alter_user_first_name_max_length,2025-04-16 11:11:28.386184+00
18,blog,0001_initial,2025-04-16 11:11:28.397939+00
19,blog,0002_post_file,2025-04-16 11:11:28.402576+00
20,sessions,0001_initial,2025-04-16 11:11:28.413132+00
21,users,0001_initial,2025-04-16 11:11:28.423204+00
22,blog,0003_author_research_researchauthor,2025-04-17 13:11:39.275043+00
23,users,0002_alter_profile_id,2025-04-17 13:52:19.237765+00
24,frontend,0001_initial,2025-05-19 15:44:01.019727+00
25,frontend,0002_alter_archaeologicalevidence_lat_and_more,2025-05-19 15:44:01.023721+00
26,frontend,0003_alter_municipality_sigla_provincia_and_more,2025-05-19 15:44:01.025768+00
27,frontend,0004_alter_province_codice_regione_and_more,2025-05-19 15:44:01.02814+00
28,frontend,0005_alter_region_codice_regione_alter_site_id_and_more,2025-05-19 15:44:01.02971+00
29,frontend,0006_alter_site_id_alter_sitetoponymy_id,2025-05-19 15:44:01.031059+00
30,frontend,0007_remove_province_id_region_image_id_site_and_more,2025-05-19 15:44:01.032517+00
